,timestamp,customer_id,location
0,07:03:00,0,entrance
1,07:03:00,1,entrance
2,07:04:00,0,drinks
3,07:04:00,1,drinks
4,07:05:00,0,fruit
5,07:05:00,1,drinks
6,07:05:00,2,entrance
7,07:06:00,0,fruit
8,07:06:00,1,fruit
9,07:06:00,2,dairy
10,07:06:00,3,entrance
11,07:06:00,4,entrance
12,07:07:00,0,checkout
13,07:07:00,1,fruit
14,07:07:00,2,dairy
15,07:07:00,3,fruit
16,07:07:00,4,spices
17,07:07:00,5,entrance
18,07:08:00,0,checkout
19,07:08:00,1,checkout
20,07:08:00,2,checkout
21,07:08:00,3,fruit
22,07:08:00,4,drinks
23,07:08:00,5,spices
24,07:08:00,6,entrance
25,07:08:00,7,entrance
26,07:09:00,0,checkout
27,07:09:00,1,checkout
28,07:09:00,2,checkout
29,07:09:00,3,fruit
30,07:09:00,4,checkout
31,07:09:00,5,drinks
32,07:09:00,6,spices
33,07:09:00,7,fruit
34,07:10:00,0,checkout
35,07:10:00,1,checkout
36,07:10:00,2,checkout
37,07:10:00,3,checkout
38,07:10:00,4,checkout
39,07:10:00,5,checkout
40,07:10:00,6,spices
41,07:10:00,7,fruit
42,07:10:00,8,entrance
43,07:11:00,0,checkout
44,07:11:00,1,checkout
45,07:11:00,2,checkout
46,07:11:00,3,checkout
47,07:11:00,4,checkout
48,07:11:00,5,checkout
49,07:11:00,6,fruit
50,07:11:00,7,drinks
51,07:11:00,8,fruit
52,07:11:00,9,entrance
53,07:12:00,0,checkout
54,07:12:00,1,checkout
55,07:12:00,2,checkout
56,07:12:00,3,checkout
57,07:12:00,4,checkout
58,07:12:00,5,checkout
59,07:12:00,6,fruit
60,07:12:00,7,checkout
61,07:12:00,8,fruit
62,07:12:00,9,dairy
63,07:12:00,10,entrance
64,07:13:00,0,checkout
65,07:13:00,1,checkout
66,07:13:00,2,checkout
67,07:13:00,3,checkout
68,07:13:00,4,checkout
69,07:13:00,5,checkout
70,07:13:00,6,fruit
71,07:13:00,7,checkout
72,07:13:00,8,fruit
73,07:13:00,9,dairy
74,07:13:00,10,spices
75,07:14:00,0,checkout
76,07:14:00,1,checkout
77,07:14:00,2,checkout
78,07:14:00,3,checkout
79,07:14:00,4,checkout
80,07:14:00,5,checkout
81,07:14:00,6,fruit
82,07:14:00,7,checkout
83,07:14:00,8,checkout
84,07:14:00,9,fruit
85,07:14:00,10,spices
86,07:15:00,0,checkout
87,07:15:00,1,checkout
88,07:15:00,2,checkout
89,07:15:00,3,checkout
90,07:15:00,4,checkout
91,07:15:00,5,checkout
92,07:15:00,6,fruit
93,07:15:00,7,checkout
94,07:15:00,8,checkout
95,07:15:00,9,fruit
96,07:15:00,10,drinks
97,07:15:00,11,entrance
98,07:16:00,0,checkout
99,07:16:00,1,checkout
100,07:16:00,2,checkout
101,07:16:00,3,checkout
102,07:16:00,4,checkout
103,07:16:00,5,checkout
104,07:16:00,6,fruit
105,07:16:00,7,checkout
106,07:16:00,8,checkout
107,07:16:00,9,fruit
108,07:16:00,10,drinks
109,07:16:00,11,fruit
110,07:17:00,0,checkout
111,07:17:00,1,checkout
112,07:17:00,2,checkout
113,07:17:00,3,checkout
114,07:17:00,4,checkout
115,07:17:00,5,checkout
116,07:17:00,6,fruit
117,07:17:00,7,checkout
118,07:17:00,8,checkout
119,07:17:00,9,checkout
120,07:17:00,10,drinks
121,07:17:00,11,fruit
122,07:17:00,12,entrance
123,07:17:00,13,entrance
124,07:18:00,0,checkout
125,07:18:00,1,checkout
126,07:18:00,2,checkout
127,07:18:00,3,checkout
128,07:18:00,4,checkout
129,07:18:00,5,checkout
130,07:18:00,6,dairy
131,07:18:00,7,checkout
132,07:18:00,8,checkout
133,07:18:00,9,checkout
134,07:18:00,10,drinks
135,07:18:00,11,spices
136,07:18:00,12,drinks
137,07:18:00,13,drinks
138,07:18:00,14,entrance
139,07:18:00,15,entrance
140,07:19:00,0,checkout
141,07:19:00,1,checkout
142,07:19:00,2,checkout
143,07:19:00,3,checkout
144,07:19:00,4,checkout
145,07:19:00,5,checkout
146,07:19:00,6,dairy
147,07:19:00,7,checkout
148,07:19:00,8,checkout
149,07:19:00,9,checkout
150,07:19:00,10,drinks
151,07:19:00,11,dairy
152,07:19:00,12,drinks
153,07:19:00,13,drinks
154,07:19:00,14,fruit
155,07:19:00,15,fruit
156,07:20:00,0,checkout
