date,remainder
1949-01-01,4.405303030303244
1949-02-01,17.496212121212267
1949-03-01,7.496212121212324
1949-04-01,9.587121212121389
1949-05-01,-5.2310606060604385
1949-06-01,-12.776515151514971
1949-07-01,-19.412878787878668
1949-08-01,-20.321969696969518
1949-09-01,-7.321969696969546
1949-10-01,-4.68560606060592
1949-11-01,-2.7765151515149853
1949-12-01,-5.5946969696968125
1950-01-01,-17.4757575757574
1950-02-01,2.6151515151516236
1950-03-01,-6.38484848484832
1950-04-01,-8.293939393939255
1950-05-01,-26.11212121212108
1950-06-01,-20.657575757575614
1950-07-01,-18.293939393939297
1950-08-01,-19.203030303030147
1950-09-01,-3.203030303030175
1950-10-01,-10.566666666666563
1950-11-01,-12.657575757575628
1950-12-01,1.5242424242425443
1951-01-01,1.6431818181819722
1951-02-01,11.73409090909098
1951-03-01,14.734090909091037
1951-04-01,2.8250000000001023
1951-05-01,13.00681818181829
1951-06-01,-10.538636363636243
1951-07-01,-12.174999999999955
1951-08-01,-13.084090909090776
1951-09-01,0.9159090909091674
1951-10-01,3.5522727272727934
1951-11-01,10.461363636363728
1951-12-01,9.643181818181915
1952-01-01,8.762121212121315
1952-02-01,21.85303030303035
1952-03-01,4.853030303030408
1952-04-01,-2.056060606060555
1952-05-01,-1.8742424242423397
1952-06-01,5.580303030303099
1952-07-01,-8.056060606060583
1952-08-01,3.034848484848567
1952-09-01,1.0348484848485384
1952-10-01,10.671212121212164
1952-11-01,17.5803030303031
1952-12-01,15.762121212121286
1953-01-01,10.881060606060686
1953-02-01,12.971969696969722
1953-03-01,20.97196969696975
1953-04-01,27.062878787878844
1953-05-01,19.244696969697003
1953-06-01,2.699242424242442
1953-07-01,-3.937121212121241
1953-08-01,2.153787878787938
1953-09-01,1.153787878787881
1953-10-01,4.790151515151507
1953-11-01,-1.3007575757575296
1953-12-01,-4.118939393939371
1954-01-01,-7.999999999999972
1954-02-01,-23.909090909090935
1954-03-01,-7.90909090909085
1954-04-01,-7.818181818181785
1954-05-01,-3.636363636363626
1954-06-01,-6.181818181818187
1954-07-01,-0.8181818181818699
1954-08-01,-8.727272727272691
1954-09-01,-6.727272727272748
1954-10-01,-5.090909090909122
1954-11-01,-2.181818181818187
1954-12-01,-4.0
1955-01-01,2.1189393939393995
1955-02-01,-4.790151515151564
1955-03-01,-6.790151515151479
1955-04-01,2.300757575757558
1955-05-01,1.482575757575745
1955-06-01,6.937121212121156
1955-07-01,15.30075757575753
1955-08-01,3.3916666666666515
1955-09-01,8.391666666666652
1955-10-01,8.02803030303025
1955-11-01,3.937121212121184
1955-12-01,13.118939393939343
1956-01-01,10.237878787878742
1956-02-01,7.328787878787807
1956-03-01,5.328787878787807
1956-04-01,9.419696969696929
1956-05-01,11.60151515151506
1956-06-01,20.056060606060555
1956-07-01,18.419696969696815
1956-08-01,12.510606060606051
1956-09-01,11.510606060605937
1956-10-01,6.146969696969563
1956-11-01,7.056060606060555
1956-12-01,7.237878787878685
1957-01-01,7.356818181818085
1957-02-01,-1.5522727272728503
1957-03-01,5.447727272727207
1957-04-01,6.5386363636363285
1957-05-01,9.720454545454459
1957-06-01,21.17499999999984
1957-07-01,19.538636363636215
1957-08-01,19.62954545454545
1957-09-01,14.629545454545337
1957-10-01,8.265909090908963
1957-11-01,6.174999999999898
1957-12-01,1.3568181818180847
1958-01-01,-2.524242424242516
1958-02-01,-16.433333333333508
1958-03-01,-18.433333333333394
1958-04-01,-21.342424242424386
1958-05-01,-13.160606060606256
1958-06-01,0.2939393939392403
1958-07-01,4.657575757575501
1958-08-01,11.748484848484736
1958-09-01,-13.251515151515264
1958-10-01,-11.615151515151751
1958-11-01,-17.70606060606076
1958-12-01,-25.524242424242516
1959-01-01,-17.405303030303116
1959-02-01,-27.314393939394108
1959-03-01,-19.314393939394108
1959-04-01,-18.223484848484986
1959-05-01,-5.041666666666856
1959-06-01,-6.58712121212136
1959-07-01,4.7765151515149
1959-08-01,8.867424242424136
1959-09-01,-7.132575757575978
1959-10-01,-9.496212121212352
1959-11-01,-8.58712121212136
1959-12-01,-9.40530303030323
