,Artist,Link,Lyrics
0,Radiohead,https://www.lyrics.com/lyric/33903378/Radiohead/Karma+Police,"['Karma police', 'Arrest this man', 'He talks in maths', 'He buzzes like a fridge', ""He's like a detuned radio"", 'Karma police', 'Arrest this girl', 'Her Hitler hairdo', 'Is making me feel ill', 'And we have crashed her party', ""This is what you'll get"", ""This is what you'll get"", ""This is what you'll get"", 'When you mess with us', 'Karma police', ""I've given all I can"", ""It's not enough"", ""I've given all I can"", ""But we're still on the payroll"", ""This is what you'll get"", ""This is what you'll get"", ""This is what you'll get"", 'When you mess with us', 'For a minute there', 'I lost myself, I lost myself', 'Phew, for a minute there', 'I lost myself, I lost myself', 'For a minute there', 'I lost myself, I lost myself', 'Phew, for a minute there', 'I lost myself, I lost myself']"
1,Radiohead,https://www.lyrics.com/lyric/33740754/Radiohead/Daydreaming,"['Dreamers', 'They never learn', 'They never learn', 'Beyond, beyond the point', 'Of no return', 'Of no return', ""And it's too late"", 'The damage is done', 'The damage is done', 'This goes', 'Beyond me', 'Beyond you', 'The white room', 'By a window', 'Where the sun comes', 'Through', 'We are', 'Just happy to serve', 'Just happy to serve', 'You']"
2,Radiohead,https://www.lyrics.com/lyric/34465042/Radiohead/Worrywort,"[""You don't wanna talk to me,"", ""You don't wanna say the words,"", 'You try to get off the hook,', 'You try to get off the hook.', 'Sprawling on a pin,', 'Hanging off the hook,', 'Trying to get yourself away,', 'Trying to get yourself away.', ""There's no use dwelling on,"", 'On what might have been,', 'Just think of all the fun,', 'You could be having.', 'We know the way you talk,', 'We know what you want,', 'We know what you want,', 'What you really wanted.', 'Take a look around,', ""There's candles on the cake,"", 'On what might have been,', 'The road you should have took,', 'Mistakes mistaken', ""There's no use dwelling on,"", 'No use dwelling on.', ""It's such a beautiful day,"", ""It's such a beautiful day,"", 'Find yourself a ????,', 'Go and get some rest.', ""It's such a beautiful day."", ""It's such a beautiful day."", 'Go up to the mic,', 'Go up to the mic,', 'Go and get some rest.']"
3,Radiohead,https://www.lyrics.com/lyric/32911902/Radiohead/Burn+the+Witch,"['Stay in the shadows', 'Cheer at the gallows', 'This is a round up', 'This is a low flying panic attack', 'Sing a song on the jukebox that goes', 'Burn the witch', 'Burn the witch', 'We know where you live', 'Red crosses on wooden doors', 'And if you float you burn', 'Loose talk around tables', 'Abandon all reason', 'Avoid all eye contact', 'Do not react', 'Shoot the messengers', 'This is a low flying panic attack', 'Sing the song of sixpence that goes', 'Burn the witch', 'Burn the witch', 'We know where you live', 'We know where you live']"
4,Radiohead,https://www.lyrics.com/lyric/33446757/Radiohead/Decks+Dark,"['Then in your life, there comes the darkness', ""There's a spacecraft blocking out the sky"", ""And there's nowhere to hide"", 'You run to the back and you cover your ears', ""But it's the loudest sound you've ever heard"", 'And are we trapped? Rag-doll, cloth people', 'We are helpless to resist', 'Into our darkest hour', 'But it was just a laugh, just a laugh', 'Just a laugh, just a laugh', 'Even at this angle', 'And so we crumble', 'A ten ton head, made of wet sand', 'This dread circumference', 'You gotta be kidding me', 'The grass grows over me', 'Your face in the glass, in the glass', 'It was just a laugh, just a laugh', ""It's whatever you say it is"", 'Split infinity', 'And into your life, there comes a darkness', 'And a spacecraft blocking out the sky', ""And there's nowhere to hide"", 'You run to the back and you cover your ears', ""But it's the loudest sound you've ever heard"", 'Into your darkest hour', ""When you've had enough of me"", ""When you've had enough of me"", 'Sweet darling', ""When you've had enough of me"", ""When you've had enough of me"", 'Sweet darling', 'Sweet darling', 'Sweet darling', 'Sweet darling']"
5,Radiohead,https://www.lyrics.com/lyric/32929159/Radiohead/Desert+Island+Disk,"['Now as I go upon my way', 'So let me go upon my way', 'Born of a light', 'Born of a light', 'The wind rushing round my open heart', 'An open ravine', 'In my spirit white', 'Totally alive', 'In my spirit light', 'Through an open doorway', 'Across a street', 'To another life', 'And catching my reflection in a window', 'Switching on a light', 'One I didn’t know', 'Totally alive', 'Totally released', 'Waking, waking up from shutdown', 'From a thousand years of sleep', 'Yeah you, you know what I mean', 'You know what I mean', 'You know what I mean', 'Standing on the edge of you', 'You know what I mean', 'You know what I mean', 'You know what I mean', 'Different types of love', 'Different types of love', 'Different types of love', 'Are possible', 'Are possible', 'Are possible', 'Are possible']"
6,Radiohead,https://www.lyrics.com/lyric/32929158/Radiohead/Ful+Stop,"['You really messed up everything', 'You really messed up everything', 'But you can take it all back again', ""Strike up what's in the box"", ""Why should I be good if you're not?"", 'This is a foul tasting medicine', 'A foul tasting medicine', 'To be trapped in your full stop', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up', 'Truth will mess you up (all the good times)', 'Truth will mess you up', 'Truth will mess you up (all the good times)', 'Truth will mess you up', 'Truth will mess you up (all the good times)', 'Truth will mess you up', 'Truth will mess you up (all the good times)', 'All the good times', 'All the good times', 'All the good times', 'All the good times', 'All the good times', 'Take me back again', 'Take me back', 'Take me back again', 'Oh', 'You really me', 'Really mess', 'Ah', 'You really messed up', 'You really messed up', 'You really messed up', 'You really messed up this time (ah)', 'You really messed up', 'You really messed up', 'You really messed up', 'You really messed up this time (ah)']"
7,Radiohead,https://www.lyrics.com/lyric/32911897/Radiohead/Glass+Eyes,"[""Hey it's me"", 'I just got off the train', 'A frightening place', 'Their faces are concrete grey', ""And I'm wondering, should I turn around?"", 'Buy another ticket', 'Panic is coming on strong', 'So cold, from the inside out', 'No great job, no message coming in', ""And you're so small"", 'Glassy eyed light of day', 'Glassy eyed light of day', 'The path trails off', 'And heads down a mountain', ""Through the dry bush, I don't know where it leads"", ""I don't really care"", 'And the path trails off', 'And heads down a mountain', ""Through the dry bush, I don't know where it leads"", ""I don't really care"", 'I feel this often, go', 'I feel this often, go']"
8,Radiohead,https://www.lyrics.com/lyric/32929156/Radiohead/Identikit,"['Sweet-faced ones with nothing left inside', 'That we all can love, that we all can love, that we all', 'Sweet-faced ones with nothing left inside', 'That we all can love, that we all can love, that we all ', 'When I see you messing me around', 'I don’t want to know, I don’t want to know, I don’t want to', 'Did I see you messing me around?', 'I don’t want to know, I don’t want to know, I don’t want to know', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Broken hearts make it rain', 'Pieces of a ragdoll mankind', 'That we can’t create, that we can’t create, that we can’t', 'Pieces of a wreck of mankind', 'That we can’t create, that we can’t create', 'When all I see you messing me around', 'I don’t want to know, I don’t want to know, I don’t want ', 'When I see you searching me around', 'I don’t want to know, I don’t want to know, I don’t want to know']"
9,Radiohead,https://www.lyrics.com/lyric/32911895/Radiohead/The+Numbers,"['It holds us like a phantom', 'The touch is like a breeze', 'It shines its understanding', 'See the moon smiling', 'Open on all channels', 'Ready to receive', ""And we're not at the mercy"", 'Of your shimmers or spells', 'Your shimmers or spells', 'We are of the earth', 'To her we do return', 'The future is inside us', ""It's not somewhere else"", ""It's not somewhere else"", ""It's not somewhere else"", '(One day at a time)', 'One day at a time', 'We call upon the people', 'People have this power', ""The numbers don't decide"", 'Your system is a lie', 'The river running dry', 'The wings of a butterfly', 'And you may pour us away like soup', ""Like we're pretty broken flowers"", ""We'll take back what is ours"", 'Take back what is ours', 'One day at a time']"
